Ticker,Company,Sector,Industry
IP,International Paper Co,Consumer Cyclical,Packaging & Containers
IQV,IQVIA Holdings Inc,Healthcare,Diagnostics & Research
IR,Ingersoll-Rand Inc,Industrials,Specialty Industrial Machinery
IRM,Iron Mountain Inc,Real Estate,REIT - Specialty
ISRG,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies
IT,"Gartner, Inc",Technology,Information Technology Services
ITW,"Illinois Tool Works, Inc",Industrials,Specialty Industrial Machinery
IVZ,Invesco Ltd,Financial,Asset Management
J,Jacobs Solutions Inc,Industrials,Engineering & Construction
JBHT,"J.B. Hunt Transport Services, Inc",Industrials,Integrated Freight & Logistics
JBL,Jabil Inc,Technology,Electronic Components
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment
JKHY,"Jack Henry & Associates, Inc",Technology,Information Technology Services
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
JPM,JPMorgan Chase & Co,Financial,Banks - Diversified
KDP,Keurig Dr Pepper Inc,Consumer Defensive,Beverages - Non-Alcoholic
KEY,Keycorp,Financial,Banks - Regional
KEYS,Keysight Technologies Inc,Technology,Scientific & Technical Instruments
KHC,Kraft Heinz Co,Consumer Defensive,Packaged Foods
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail
KKR,KKR & Co. Inc,Financial,Asset Management
KLAC,KLA Corp,Technology,Semiconductor Equipment & Materials
KMB,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products
KMI,Kinder Morgan Inc,Energy,Oil & Gas Midstream
KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic
KR,Kroger Co,Consumer Defensive,Grocery Stores
KVUE,Kenvue Inc,Consumer Defensive,Household & Personal Products
L,Loews Corp,Financial,Insurance - Property & Casualty
LDOS,Leidos Holdings Inc,Technology,Information Technology Services
LEN,Lennar Corp,Consumer Cyclical,Residential Construction
LH,Labcorp Holdings Inc,Healthcare,Diagnostics & Research
LHX,L3Harris Technologies Inc,Industrials,Aerospace & Defense
LII,Lennox International Inc,Industrials,Building Products & Equipment
LIN,Linde Plc,Basic Materials,Specialty Chemicals
LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General
LMT,Lockheed Martin Corp,Industrials,Aerospace & Defense
LNT,Alliant Energy Corp,Utilities,Utilities - Regulated Electric
LOW,"Lowe's Cos., Inc",Consumer Cyclical,Home Improvement Retail
LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials
LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail
LUV,Southwest Airlines Co,Industrials,Airlines
LVS,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos
LW,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals
LYV,Live Nation Entertainment Inc,Communication Services,Entertainment
MA,Mastercard Incorporated,Financial,Credit Services
MAA,"Mid-America Apartment Communities, Inc",Real Estate,REIT - Residential
MAR,"Marriott International, Inc",Consumer Cyclical,Lodging
MAS,Masco Corp,Industrials,Building Products & Equipment
MCD,McDonald's Corp,Consumer Cyclical,Restaurants
MCHP,"Microchip Technology, Inc",Technology,Semiconductors
MCK,Mckesson Corporation,Healthcare,Medical Distribution
MCO,Moody's Corp,Financial,Financial Data & Stock Exchanges
MDLZ,Mondelez International Inc,Consumer Defensive,Confectioners
MDT,Medtronic Plc,Healthcare,Medical Devices
MET,Metlife Inc,Financial,Insurance - Life
META,Meta Platforms Inc,Communication Services,Internet Content & Information
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos
MKC,"McCormick & Co., Inc",Consumer Defensive,Packaged Foods
MLM,"Martin Marietta Materials, Inc",Basic Materials,Building Materials
MMM,3M Co,Industrials,Conglomerates
MNST,Monster Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic
MO,Altria Group Inc,Consumer Defensive,Tobacco
MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans
MOS,Mosaic Company,Basic Materials,Agricultural Inputs
MPC,Marathon Petroleum Corp,Energy,Oil & Gas Refining & Marketing
MPWR,Monolithic Power System Inc,Technology,Semiconductors
MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General
MRNA,Moderna Inc,Healthcare,Biotechnology
MRSH,Marsh,Financial,Insurance Brokers
MS,Morgan Stanley,Financial,Capital Markets
MSCI,MSCI Inc,Financial,Financial Data & Stock Exchanges
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
MSI,Motorola Solutions Inc,Technology,Communication Equipment
MTB,M & T Bank Corp,Financial,Banks - Regional
MTCH,Match Group Inc,Communication Services,Internet Content & Information
MTD,"Mettler-Toledo International, Inc",Healthcare,Diagnostics & Research
MU,Micron Technology Inc,Technology,Semiconductors
NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services
NDAQ,Nasdaq Inc,Financial,Financial Data & Stock Exchanges
NDSN,Nordson Corp,Industrials,Specialty Industrial Machinery
NEE,NextEra Energy Inc,Utilities,Utilities - Regulated Electric
NEM,Newmont Corp,Basic Materials,Gold
NFLX,Netflix Inc,Communication Services,Entertainment
NI,NiSource Inc,Utilities,Utilities - Regulated Gas
NKE,"Nike, Inc",Consumer Cyclical,Footwear & Accessories
NOC,Northrop Grumman Corp,Industrials,Aerospace & Defense
NOW,ServiceNow Inc,Technology,Software - Application
NRG,NRG Energy Inc,Utilities,Utilities - Independent Power Producers
NSC,Norfolk Southern Corp,Industrials,Railroads
NTAP,Netapp Inc,Technology,Software - Infrastructure
NTRS,Northern Trust Corp,Financial,Asset Management
NUE,Nucor Corp,Basic Materials,Steel
NVDA,NVIDIA Corp,Technology,Semiconductors
NVR,NVR Inc,Consumer Cyclical,Residential Construction
NWS,News Corp,Communication Services,Entertainment
NWSA,News Corp,Communication Services,Entertainment
NXPI,NXP Semiconductors NV,Technology,Semiconductors
O,Realty Income Corp,Real Estate,REIT - Retail
ODFL,"Old Dominion Freight Line, Inc",Industrials,Trucking
OKE,Oneok Inc,Energy,Oil & Gas Midstream
OMC,"Omnicom Group, Inc",Communication Services,Advertising Agencies
ON,ON Semiconductor Corp,Technology,Semiconductors
ORCL,Oracle Corp,Technology,Software - Infrastructure
ORLY,"O'Reilly Automotive, Inc",Consumer Cyclical,Auto Parts
OTIS,Otis Worldwide Corp,Industrials,Specialty Industrial Machinery
OXY,Occidental Petroleum Corp,Energy,Oil & Gas E&P
PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure
PAYC,Paycom Software Inc,Technology,Software - Application
PAYX,Paychex Inc,Technology,Software - Application
PCAR,Paccar Inc,Industrials,Farm & Heavy Construction Machinery
PCG,PG&E Corp,Utilities,Utilities - Regulated Electric
PEG,Public Service Enterprise Group Inc,Utilities,Utilities - Regulated Electric
PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic
PFE,Pfizer Inc,Healthcare,Drug Manufacturers - General
PFG,Principal Financial Group Inc,Financial,Asset Management
PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products
PGR,Progressive Corp,Financial,Insurance - Property & Casualty
PH,Parker-Hannifin Corp,Industrials,Specialty Industrial Machinery
PHM,PulteGroup Inc,Consumer Cyclical,Residential Construction
PKG,Packaging Corp Of America,Consumer Cyclical,Packaging & Containers
PLD,Prologis Inc,Real Estate,REIT - Industrial
PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure
PM,Philip Morris International Inc,Consumer Defensive,Tobacco
PNC,PNC Financial Services Group Inc,Financial,Banks - Regional
PNR,Pentair plc,Industrials,Specialty Industrial Machinery
PNW,Pinnacle West Capital Corp,Utilities,Utilities - Regulated Electric
PODD,Insulet Corporation,Healthcare,Medical Devices
POOL,Pool Corporation,Industrials,Industrial Distribution
PPG,"PPG Industries, Inc",Basic Materials,Specialty Chemicals
PPL,PPL Corp,Utilities,Utilities - Regulated Electric
PRU,Prudential Financial Inc,Financial,Insurance - Life
PSA,Public Storage,Real Estate,REIT - Industrial
PSKY,Paramount Skydance Corp,Communication Services,Entertainment
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PTC,PTC Inc,Technology,Software - Application
PWR,"Quanta Services, Inc",Industrials,Engineering & Construction
PYPL,PayPal Holdings Inc,Financial,Credit Services
Q,Qnity Electronics Inc,Technology,Semiconductor Equipment & Materials
QCOM,"Qualcomm, Inc",Technology,Semiconductors
RCL,Royal Caribbean Group,Consumer Cyclical,Travel Services
REG,Regency Centers Corporation,Real Estate,REIT - Retail
REGN,"Regeneron Pharmaceuticals, Inc",Healthcare,Biotechnology
RF,Regions Financial Corp,Financial,Banks - Regional
RJF,"Raymond James Financial, Inc",Financial,Asset Management
RL,Ralph Lauren Corp,Consumer Cyclical,Apparel Manufacturing
RMD,Resmed Inc,Healthcare,Medical Instruments & Supplies
ROK,Rockwell Automation Inc,Industrials,Specialty Industrial Machinery
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services
ROP,Roper Technologies Inc,Technology,Software - Application
ROST,"Ross Stores, Inc",Consumer Cyclical,Apparel Retail
RSG,"Republic Services, Inc",Industrials,Waste Management
RTX,RTX Corp,Industrials,Aerospace & Defense
RVTY,Revvity Inc,Healthcare,Diagnostics & Research
SBAC,SBA Communications Corp,Real Estate,REIT - Specialty
SBUX,Starbucks Corp,Consumer Cyclical,Restaurants
SCHW,Charles Schwab Corp,Financial,Capital Markets
SHW,Sherwin-Williams Co,Basic Materials,Specialty Chemicals
SJM,J.M. Smucker Co,Consumer Defensive,Packaged Foods
SLB,SLB Ltd,Energy,Oil & Gas Equipment & Services
SMCI,Super Micro Computer Inc,Technology,Computer Hardware
SNA,"Snap-on, Inc",Industrials,Tools & Accessories
SNDK,Sandisk Corp,Technology,Computer Hardware
SNPS,"Synopsys, Inc",Technology,Software - Infrastructure
SO,Southern Company,Utilities,Utilities - Regulated Electric
SOLV,Solventum Corp,Healthcare,Medical Instruments & Supplies
SPG,"Simon Property Group, Inc",Real Estate,REIT - Retail
SPGI,S&P Global Inc,Financial,Financial Data & Stock Exchanges
SRE,Sempra,Utilities,Utilities - Diversified
STE,Steris Plc,Healthcare,Medical Devices
STLD,Steel Dynamics Inc,Basic Materials,Steel
STT,State Street Corp,Financial,Asset Management
STX,Seagate Technology Holdings Plc,Technology,Computer Hardware
STZ,Constellation Brands Inc,Consumer Defensive,Beverages - Brewers
SW,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers
SWK,Stanley Black & Decker Inc,Industrials,Tools & Accessories
SWKS,"Skyworks Solutions, Inc",Technology,Semiconductors
SYF,Synchrony Financial,Financial,Credit Services
SYK,Stryker Corp,Healthcare,Medical Devices
SYY,Sysco Corp,Consumer Defensive,Food Distribution
T,"AT&T, Inc",Communication Services,Telecom Services
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers
TDG,Transdigm Group Incorporated,Industrials,Aerospace & Defense
TDY,Teledyne Technologies Inc,Technology,Scientific & Technical Instruments
TECH,Bio-Techne Corp,Healthcare,Biotechnology
TEL,TE Connectivity plc,Technology,Electronic Components
TER,"Teradyne, Inc",Technology,Semiconductor Equipment & Materials
TFC,Truist Financial Corporation,Financial,Banks - Regional
TGT,Target Corp,Consumer Defensive,Discount Stores
TJX,"TJX Companies, Inc",Consumer Cyclical,Apparel Retail
TKO,TKO Group Holdings Inc,Communication Services,Entertainment
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research
TMUS,T-Mobile US Inc,Communication Services,Telecom Services
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P
TPR,Tapestry Inc,Consumer Cyclical,Luxury Goods
TRGP,Targa Resources Corp,Energy,Oil & Gas Midstream
TRMB,Trimble Inc,Technology,Scientific & Technical Instruments
TROW,T. Rowe Price Group Inc,Financial,Asset Management
TRV,Travelers Companies Inc,Financial,Insurance - Property & Casualty
TSCO,Tractor Supply Co,Consumer Cyclical,Specialty Retail
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers
TSN,"Tyson Foods, Inc",Consumer Defensive,Farm Products
TT,Trane Technologies plc,Industrials,Building Products & Equipment
TTD,Trade Desk Inc,Communication Services,Advertising Agencies
TTWO,"Take-Two Interactive Software, Inc",Communication Services,Electronic Gaming & Multimedia
TXN,Texas Instruments Inc,Technology,Semiconductors
TXT,Textron Inc,Industrials,Aerospace & Defense
TYL,"Tyler Technologies, Inc",Technology,Software - Application
UAL,United Airlines Holdings Inc,Industrials,Airlines
UBER,Uber Technologies Inc,Technology,Software - Application
UDR,UDR Inc,Real Estate,REIT - Residential
UHS,"Universal Health Services, Inc",Healthcare,Medical Care Facilities
ULTA,Ulta Beauty Inc,Consumer Cyclical,Specialty Retail
UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans
UNP,Union Pacific Corp,Industrials,Railroads
UPS,"United Parcel Service, Inc",Industrials,Integrated Freight & Logistics
URI,"United Rentals, Inc",Industrials,Rental & Leasing Services
USB,U.S. Bancorp,Financial,Banks - Regional
V,Visa Inc,Financial,Credit Services
VICI,VICI Properties Inc,Real Estate,REIT - Diversified
VLO,Valero Energy Corp,Energy,Oil & Gas Refining & Marketing
VLTO,Veralto Corp,Industrials,Pollution & Treatment Controls
VMC,Vulcan Materials Co,Basic Materials,Building Materials
VRSK,Verisk Analytics Inc,Industrials,Consulting Services
VRSN,Verisign Inc,Technology,Software - Infrastructure
VRTX,"Vertex Pharmaceuticals, Inc",Healthcare,Biotechnology
VST,Vistra Corp,Utilities,Utilities - Independent Power Producers
VTR,Ventas Inc,Real Estate,REIT - Healthcare Facilities
VTRS,Viatris Inc,Healthcare,Drug Manufacturers - Specialty & Generic
VZ,Verizon Communications Inc,Communication Services,Telecom Services
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Railroads
WAT,Waters Corp,Healthcare,Diagnostics & Research
WBD,Warner Bros. Discovery Inc,Communication Services,Entertainment
WDAY,Workday Inc,Technology,Software - Application
WDC,Western Digital Corp,Technology,Computer Hardware
WEC,WEC Energy Group Inc,Utilities,Utilities - Regulated Electric
WELL,Welltower Inc,Real Estate,REIT - Healthcare Facilities
WFC,Wells Fargo & Co,Financial,Banks - Diversified
WM,"Waste Management, Inc",Industrials,Waste Management
WMB,Williams Cos Inc,Energy,Oil & Gas Midstream
WMT,Walmart Inc,Consumer Defensive,Discount Stores
WRB,W.R. Berkley Corp,Financial,Insurance - Property & Casualty
WSM,"Williams-Sonoma, Inc",Consumer Cyclical,Specialty Retail
WST,"West Pharmaceutical Services, Inc",Healthcare,Medical Instruments & Supplies
WTW,Willis Towers Watson Public Limited Co,Financial,Insurance Brokers
WY,Weyerhaeuser Co,Real Estate,REIT - Specialty
WYNN,Wynn Resorts Ltd,Consumer Cyclical,Resorts & Casinos
XEL,"Xcel Energy, Inc",Utilities,Utilities - Regulated Electric
XOM,Exxon Mobil Corp,Energy,Oil & Gas Integrated
XYL,Xylem Inc,Industrials,Specialty Industrial Machinery
XYZ,Block Inc,Technology,Software - Infrastructure
YUM,Yum Brands Inc,Consumer Cyclical,Restaurants
ZBH,Zimmer Biomet Holdings Inc,Healthcare,Medical Devices
ZBRA,Zebra Technologies Corp,Technology,Communication Equipment
ZTS,Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic
